Metric,40X,100X,200X,400X
Avg. ILA,0.7407246659501421,0.7524239554471472,0.790883440452926,0.7226749672748854
Avg. PLA,0.7468479936747882,0.7632115932002126,0.7946659768194976,0.7330283486664558
