Fold,40X,100X,200X,400X
1,0.8551423501433317,0.8340124345999455,0.879771211732247,0.8401427502321853
2,0.746437404245184,0.7640032534449126,0.8867064782396594,0.807464743657247
3,0.7683643181336157,0.7645760538787104,0.8377885160448084,0.7422322394314209
4,0.7780906294323816,0.7379369115699929,0.8157618495124183,0.7665082302640753
