Fold,40X,100X,200X,400X
1,0.9078672136106575,0.9115433010549315,0.8913028132794716,0.8672503758432474
2,0.8905323447122583,0.8537134184954561,0.8629240292885018,0.79445086346846
3,0.8398349843267006,0.8985535713588977,0.9355413227582469,0.8661936326986739
4,0.7800111051341329,0.8159490679272464,0.8396562985713164,0.8495827973099053
5,0.8559830583218676,0.8783177667468116,0.8888085574433984,0.8657757916205435
