Metric,40X,100X,200X,400X
Avg. ILA,"[0.8406528566432145, 0.03314509560793556]","[0.8542557669516146, 0.03144928827733303]","[0.885723807603499, 0.03406061540127469]","[0.8466312307528888, 0.0288411985120665]"
Avg. PLA,"[0.848799481409056, 0.043843859073208896]","[0.8631616506893073, 0.03457225081231633]","[0.8821602147675087, 0.03456081130413593]","[0.8447071431047061, 0.02557227228674829]"
